Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2021-06-22,Investors Exchange (V),112084249,20368311,90159125,222611685,7129736887.641300,1432645621.921000,7064160727.123900,15626543236.686200,1386298,128646,1146864,2661808
2021-06-22,NASDAQ PSX (X),23800115,15723340,24318000,63841455,836661133.150000,1213426718.871400,1380351527.960100,3430439379.981500,179628,71254,198407,449289
2021-06-22,BYX Equities (Y),51608526,29769982,38942255,120320763,2073307085.545400,2239282492.481300,2116190504.881600,6428780082.908300,630337,161869,507354,1299560
2021-06-22,BZX Equities (Z),156769372,78885062,149584790,385239224,8403279493.419000,7175936296.958100,10642066257.198399,26221282047.575499,2072307,516967,1882685,4471959
2021-06-21,NYSE American (A),9994963,39192225,8090317,57277505,414967265.160000,591722515.362200,375928829.487400,1382618610.009600,137995,118804,105053,361852
2021-06-21,NASDAQ BX (B),24710178,14488316,25116285,64314779,1281045336.920200,1322437326.581200,1618171111.400100,4221653774.901500,348878,102875,352830,804583
2021-06-21,NYSE National (C),53210416,28031119,29077825,110319360,1554924204.284700,1409233199.871300,1064947298.381300,4029104702.537300,545689,141791,360124,1047604
2021-06-21,FINRA / Nasdaq TRF Chicago (DB),6928507,2852249,14357053,24137809,349161134.542000,120404857.226400,625979511.227900,1095545502.996300,41522,8668,63676,113866
2021-06-21,FINRA / NYSE TRF (DN),235059920,154602201,503697903,893360024,9606090883.674300,4315967152.225000,15376190045.588500,29298248081.487800,1356092,326656,1828364,3511112
2021-06-21,FINRA / Nasdaq TRF Carteret (DQ),1334746491,640355815,1713080733,3688183039,65343089813.308418,34434835151.746686,73696909710.135798,173474834675.190902,6748236,1787465,7125724,15661425
2021-06-21,MIAX Pearl (H),15309595,10684748,14373607,40367950,702056219.842400,626137907.679000,916966643.422800,2245160770.944200,178197,61054,156651,395902
2021-06-21,EDGA Equities (J),62856083,32276222,53690807,148823112,3298585439.710500,2204206931.475500,3194384525.790000,8697176896.976000,904385,259441,847697,2011523
2021-06-21,EDGX Equities (K),254534003,117975371,344663081,717172455,11289559365.175500,7040720261.892703,14935569495.190403,33265849122.258606,2279300,604752,2402651,5286703
2021-06-21,LTSE (L),3964,4149,20578,28691,690931.950000,136648.100000,1332010.940000,2159590.990000,62,51,299,412
2021-06-21,NYSE Chicago (M),3764985,3272808,2585228,9623021,381477994.358000,1178051404.800000,961877188.309000,2521406587.467000,11308,1202,10964,23474
2021-06-21,NYSE (N),1009629779,39872615,59605688,1109108082,53905399918.099103,3283969472.451300,3341534955.850401,60530904346.400804,3866305,151713,448519,4466537
2021-06-21,NYSE Arca (P),210093189,288152272,336536815,834782276,10588909078.267394,21357487501.970702,16622722546.513801,48569119126.751897,2251611,1170344,2950712,6372667
2021-06-21,NASDAQ (Q),445839529,171058326,1026504054,1643401909,25275990530.762493,14554160292.976001,61478846292.245428,101308997115.983922,5655752,1116667,8043794,14816213
2021-06-21,Members Exchange (U),94357919,56708638,111572200,262638757,2902325398.995400,2557824933.739900,2866020539.702199,8326170872.437499,867487,236668,838864,1943019
2021-06-21,Investors Exchange (V),115615608,25412041,94466782,235494431,7415771884.299501,1840031608.467400,7332926782.609001,16588730275.375902,1441081,164179,1236397,2841657
