Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2024-10-14,EDGA Equities (J),18995203,13768600,45434206,78198009,858017974.508600,567471346.048300,952916241.491300,2378405562.048200,260784,80584,255586,596954
2024-10-14,EDGX Equities (K),114319377,113603012,328057073,555979462,4801631285.815101,5280977502.980600,13958596517.760599,24041205306.556300,997486,555889,1974532,3527907
2024-10-14,LTSE (L),10690789,1604193,12696375,24991357,1073529481.032900,313023622.728200,1033556576.567800,2420109680.328900,89225,6369,87553,183147
2024-10-14,NYSE Chicago (M),3807647,8279581,12288038,24375266,332639563.449200,1033488477.853200,2339919870.746501,3706047912.048901,15880,5322,15336,36538
2024-10-14,NYSE (N),722802997,34325143,62463551,819591691,41703010071.791701,1741790874.235200,2508233457.520200,45953034403.547101,2674453,127951,446199,3248603
2024-10-14,NYSE Arca (P),126282283,292720378,441657154,860659815,6244419704.531002,17133691854.962688,14501124463.012800,37879236022.506490,1494081,1260133,3056332,5810546
2024-10-14,NASDAQ (Q),296305671,142965878,993823169,1433094718,16374020524.790701,9466875692.495905,61928023760.099016,87768919977.385622,4565344,857656,7481996,12904996
2024-10-14,Members Exchange (U),43555332,38213825,120891372,202660529,1832182460.500900,1758797871.585400,3459752544.103501,7050732876.189801,544766,193107,715877,1453750
2024-10-14,Investors Exchange (V),122866880,45352184,110564114,278783178,6882207763.061999,2198844436.323300,6476859938.501500,15557912137.886799,1504896,224691,1300513,3030100
2024-10-14,NASDAQ PSX (X),4678072,4726167,7605983,17010222,276122016.329800,302391793.723200,368522324.345300,947036134.398300,78921,26509,93590,199020
2024-10-14,BYX Equities (Y),21958204,15454155,29159808,66572167,836741578.197900,645644022.237400,1000380468.079800,2482766068.515100,292986,83359,289499,665844
2024-10-14,BZX Equities (Z),122324353,97387592,168261249,387973194,6404027931.360599,5986009973.188799,9364462187.919904,21754500092.469302,1778106,522262,1855550,4155918
2024-10-11,NYSE American (A),5344776,15254870,5567144,26166790,254921686.984500,265359426.966800,240651107.231200,760932221.182500,62973,59795,50243,173011
2024-10-11,NASDAQ BX (B),8159577,8013402,11459222,27632201,553286721.702600,400516009.561400,586999582.964800,1540802314.228800,130670,59987,144028,334685
2024-10-11,NYSE National (C),10393208,9464495,12304451,32162154,334135954.735300,328270640.807800,331391089.251000,993797684.794100,130778,47893,110368,289039
2024-10-11,FINRA / Nasdaq TRF Chicago (DB),6246018,4123732,13628376,23998126,326825370.569400,145557179.438200,925787130.276900,1398169680.284500,58705,18879,125482,203066
2024-10-11,FINRA / NYSE TRF (DN),53095541,38646942,171974247,263716730,2375777517.316300,1588539628.500099,4287576930.902599,8251894076.718998,451973,170734,622930,1245637
2024-10-11,FINRA / Nasdaq TRF Carteret (DQ),1370656758,840558991,2459391448,4670607197,72056057631.622435,45177501711.380800,97152871437.329526,214386430780.332761,11520077,3021358,13179036,27720471
2024-10-11,MIAX Pearl (H),43880273,55260626,68652447,167793346,1070654186.432000,2004167309.050400,1517912016.817900,4592733512.300300,369502,176424,385226,931152
2024-10-11,EDGA Equities (J),20209590,14661761,55465556,90336907,944673133.436500,575701418.209700,934744220.552900,2455118772.199100,279165,79845,285793,644803
2024-10-11,EDGX Equities (K),123572836,122006505,371478938,617058279,5464893370.453100,5851605321.042200,14736539426.229100,26053038117.724400,1079757,554483,2125717,3759957
2024-10-11,LTSE (L),11198464,1848761,13574972,26622197,1160532416.728200,375255382.834600,1034209535.868400,2569997335.431200,97198,7477,94583,199258
2024-10-11,NYSE Chicago (M),9829205,14385252,12645702,36860159,827583010.582400,3830255281.978599,1751110348.145400,6408948640.706399,55706,7096,57078,119880
2024-10-11,NYSE (N),799045305,40103539,64726619,903875463,47040595362.779605,2165497703.376201,2797993657.499001,52004086723.654807,2854330,143619,492895,3490844
2024-10-11,NYSE Arca (P),142160799,300459741,529983973,972604513,7254265039.540301,19272576031.268000,14492835370.134991,41019676440.943292,1661346,1274614,3286562,6222522
2024-10-11,NASDAQ (Q),321817244,157105065,1011245985,1490168294,18636479598.807088,10848149426.274202,62700235115.944377,92184864141.025667,4920446,903185,7775653,13599284
2024-10-11,Members Exchange (U),47323482,41899758,141414739,230637979,2112355473.643800,2282850152.013699,3665102834.029003,8060308459.686502,579042,197689,738312,1515043
2024-10-11,Investors Exchange (V),131742149,54085222,109379031,295206402,7823938999.405301,2713157356.280499,6356912889.370803,16894009245.056603,1603194,251262,1294118,3148574
2024-10-11,NASDAQ PSX (X),4526831,5297716,7427777,17252324,293767718.566800,392915585.358900,352663388.744700,1039346692.670400,74861,26743,89582,191186
2024-10-11,BYX Equities (Y),24287544,15053214,31067924,70408682,978671855.402200,640677625.334500,1022641729.013900,2641991209.750600,332168,83677,320455,736300
2024-10-11,BZX Equities (Z),140194806,107444246,179605351,427244403,7684588521.602797,6848286216.002399,10332586524.850698,24865461262.455894,2037961,558072,2016156,4612189
