quarter,year,tier,ats_name,total_trades,total_shares,mpid
3,2023,otc,"INX SECURITIES, LLC",1.00,500.00,SWCL
3,2023,otc,STARTENGINE SECONDARY,10.00,35.00,STEN
2,2025,nms,THE BARCLAYS ATS,38731016.00,4891220631.00,LATS
2,2025,nms,JPM-X,49358841.00,4522472843.00,JPMX
2,2025,nms,BIDS ATS,6513688.00,3836529007.00,BIDS
2,2025,nms,ONECHRONOS,39183673.00,3608886775.00,CGXS
2,2025,nms,VIRTU MATCHIT ATS,29271959.00,3090535977.00,KCGM
2,2025,nms,IBKR ATS,17241232.00,2979914764.00,IATS
2,2025,nms,JPB-X,29691637.00,2750112665.00,JPBX
2,2025,nms,POSIT,11534738.00,2593953846.00,ITGP
2,2025,nms,CBX,20052001.00,1994082696.00,ICBX
2,2025,nms,CROSSSTREAM,4892303.00,1695550060.00,XSTM
2,2025,nms,BOATS,8881511.00,1359136049.00,BLUE
2,2025,nms,CITI-ONE ATS,10751052.00,1268633589.00,ONEC
2,2025,nms,BNPP CORTEX ATS,12650298.00,1023994665.00,BNPX
2,2025,nms,MS RPOOL (ATS-6),12062417.00,841347562.00,MSRP
2,2025,nms,LIQUIDNET H2O ATS,381165.00,672436252.00,LQNA
2,2025,nms,DEALERWEB,7062.00,664586057.00,DLTA
2,2025,nms,INSTINET BLOCKCROSS,200563.00,578678795.00,BLKX
2,2025,nms,LIQUIDNET NEGOTIATION ATS,9201.00,272484200.00,LQNT
2,2025,nms,ALPHAX US,1931454.00,236234144.00,ALPX
2,2025,nms,CODA,1920969.00,220812646.00,CODA
2,2025,nms,LUMINEX ATS,4981.00,130081502.00,LMNX
2,2025,nms,IBKR EOS ATS,573762.00,110486010.00,IEOS
2,2025,nms,STIFEL X,410987.00,30538927.00,STFX
2,2025,nms,MOON ATS,6939.00,1465808.00,MOON
2,2025,nms,BRUCE ATS,1647.00,682470.00,BOSS
1,2022,tier1,UBS ATS,82115581.00,7198106497.00,UBSA
1,2022,tier1,SIGMA X2,59681533.00,5417562270.00,SGMT
1,2022,tier1,CROSSFINDER,29350107.00,3997345957.00,CROS
1,2022,tier1,JPM-X,30268473.00,3484119841.00,JPMX
1,2022,tier1,LEVEL ATS,21572684.00,2780064836.00,EBXL
1,2022,tier1,INTELLIGENT CROSS LLC,32452804.00,2629768750.00,INCR
1,2022,tier1,MS POOL (ATS-4),11909206.00,2208868372.00,MSPL
1,2022,tier1,THE BARCLAYS ATS,14226907.00,1869472306.00,LATS
1,2022,tier1,BIDS ATS,1624711.00,1711396424.00,BIDS
1,2022,tier1,VIRTU MATCHIT ATS,10230599.00,1256623301.00,KCGM
1,2022,tier1,MS TRAJECTORY CROSS (ATS-1),5243629.00,1186184038.00,MSTX
1,2022,tier1,DEALERWEB,5079.00,1041230231.00,DLTA
1,2022,tier1,IBKR ATS,8295759.00,950487853.00,IATS
1,2022,tier1,INSTINCT X,4270011.00,924936000.00,MLIX
1,2022,tier1,JPB-X,13065019.00,758919102.00,JPBX
1,2022,tier1,MS RPOOL (ATS-6),5801727.00,734702150.00,MSRP
